425088 (1 seat) vs 500k-champion table: A won 92, champion won 200, draws 108 -> 425088's share 31.5% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 400 games mirrored, 2026-09-09]
400384 (1 seat) vs 500k-champion table: A won 79, champion won 223, draws 98 -> 400384's share 26.2% (25% = equal) [BASELINE: pre-league win-reward champion re-measured on mirrored protocol, 400 games mirrored, 2026-09-09]
450176 (1 seat) vs 500k-champion table: A won 45, champion won 100, draws 55 -> 450176's share 31.0% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-10]
475264 (1 seat) vs 500k-champion table: A won 49, champion won 97, draws 54 -> 475264's share 33.6% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-10]
500352 (1 seat) vs 500k-champion table: A won 42, champion won 103, draws 55 -> 500352's share 29.0% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-12]
525440 (1 seat) vs 500k-champion table: A won 52, champion won 98, draws 50 -> 525440's share 34.7% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-12]
550016 (1 seat) vs 500k-champion table: A won 51, champion won 105, draws 44 -> 550016's share 32.7% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-13]
575104 (1 seat) vs 500k-champion table: A won 48, champion won 96, draws 56 -> 575104's share 33.3% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-13]
600192 (1 seat) vs 500k-champion table: A won 40, champion won 99, draws 61 -> 600192's share 28.8% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-16]
625280 (1 seat) vs 500k-champion table: A won 50, champion won 105, draws 45 -> 625280's share 32.3% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-16]
650368 (1 seat) vs 500k-champion table: A won 51, champion won 101, draws 48 -> 650368's share 33.6% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-16]
675456 (1 seat) vs 500k-champion table: A won 67, champion won 95, draws 38 -> 675456's share 41.4% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-16]
700032 (1 seat) vs 500k-champion table: A won 55, champion won 97, draws 48 -> 700032's share 36.2% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-16]
725120 (1 seat) vs 500k-champion table: A won 49, champion won 106, draws 45 -> 725120's share 31.6% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-16]
750208 (1 seat) vs 500k-champion table: A won 65, champion won 94, draws 41 -> 750208's share 40.9% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-17]
775296 (1 seat) vs 500k-champion table: A won 49, champion won 109, draws 42 -> 775296's share 31.0% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-17]
800384 (1 seat) vs 500k-champion table: A won 45, champion won 103, draws 52 -> 800384's share 30.4% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-18]
825472 (1 seat) vs 500k-champion table: A won 55, champion won 105, draws 40 -> 825472's share 34.4% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-19]
850048 (1 seat) vs 500k-champion table: A won 54, champion won 108, draws 38 -> 850048's share 33.3% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-19]
875136 (1 seat) vs 500k-champion table: A won 74, champion won 94, draws 32 -> 875136's share 44.0% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-20]
900224 (1 seat) vs 500k-champion table: A won 64, champion won 98, draws 38 -> 900224's share 39.5% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-20]
925312 (1 seat) vs 500k-champion table: A won 57, champion won 99, draws 44 -> 925312's share 36.5% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-21]
950400 (1 seat) vs 500k-champion table: A won 89, champion won 80, draws 31 -> 950400's share 52.7% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-21]
975488 (1 seat) vs 500k-champion table: A won 31, champion won 123, draws 46 -> 975488's share 20.1% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-21]
1000064 (1 seat) vs 500k-champion table: A won 37, champion won 116, draws 47 -> 1000064's share 24.2% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-21]
1025152 (1 seat) vs 500k-champion table: A won 77, champion won 95, draws 28 -> 1025152's share 44.8% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-21]
